"method","scalar","status","rank_rhat","folded_rhat","bulk_ess","tail_ess"
"graphMoDE-W-joint","proportion_1","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_2","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_3","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_4","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_5","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_6","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_7","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_8","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_9","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","proportion_10","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-joint","guidance_1","passed",1.00760525863961,1.00549978806849,456.287290870959,854.521036804643
"graphMoDE-W-joint","guidance_2","passed",1.00549831408175,0.997604436546506,523.446265600543,869.086722119626
"graphMoDE-W-joint","guidance_3","passed",1.00075826436745,0.998329620543927,665.925229693475,931.011426055799
"graphMoDE-W-joint","guidance_4","passed",0.999899969634865,0.999146124929066,766.025789683329,985.196798052126
"graphMoDE-W-joint","guidance_5","passed",1.00306875727922,0.999860619513121,528.434881031855,967.745562253617
"graphMoDE-W-joint","guidance_6","passed",1.00891523255267,1.00103050990296,405.64974736186,844.202829092854
"graphMoDE-W-joint","guidance_7","failed",1.01048622866668,1.00047476982492,347.903714769923,885.782835055251
"graphMoDE-W-joint","guidance_8","failed",1.01691217210207,1.00447585654291,228.955219475371,690.87972323039
"graphMoDE-W-joint","guidance_9","failed",1.02079169803055,1.00288011421751,192.372988514604,688.64797283623
"graphMoDE-W-joint","guidance_10","failed",1.01223991674845,1.00290987858069,361.659684368275,685.824270173068
"graphMoDE-W-joint","unit_log_mean_1_t1","passed",1.0000432578808,1.00134001786127,672.404597527182,778.001789577411
"graphMoDE-W-joint","unit_log_mean_31_t1","passed",1.00719023246095,0.999454442411713,676.083219225578,841.602654068813
"graphMoDE-W-joint","unit_log_mean_61_t1","passed",1.00018725087319,1.00499243969575,593.951682645164,630.58875840643
"graphMoDE-W-joint","unit_log_mean_91_t1","passed",1.00313180585812,0.999885929137658,527.168349269979,783.399511814212
"graphMoDE-W-joint","unit_log_mean_121_t1","passed",1.00528847484845,1.00301849913434,446.726475395826,630.261551658443
"graphMoDE-W-joint","unit_log_mean_1_t84","passed",1.00069323058302,1.00288829268463,495.460865309144,673.616530560833
"graphMoDE-W-joint","unit_log_mean_31_t84","failed",1.01800091606536,1.00427161364082,492.35052484504,441.953923743689
"graphMoDE-W-joint","unit_log_mean_61_t84","passed",1.00661790674981,1.00601891807209,470.890473994519,426.020821819629
"graphMoDE-W-joint","unit_log_mean_91_t84","passed",1.00999046557327,1.00394229351056,520.970893433431,542.548421392213
"graphMoDE-W-joint","unit_log_mean_121_t84","passed",1.00703457662972,1.00776965162182,418.88191583442,574.854401677846
"graphMoDE-W-joint","unit_log_mean_1_t168","passed",1.00298831336159,1.00355402282684,487.434851112829,660.121739508786
"graphMoDE-W-joint","unit_log_mean_31_t168","passed",1.00293470158941,1.00872135229302,554.168767289783,689.614361527684
"graphMoDE-W-joint","unit_log_mean_61_t168","passed",1.0033810921852,1.00112850328618,587.862617749382,691.198653508534
"graphMoDE-W-joint","unit_log_mean_91_t168","failed",1.01940467742748,1.0107969457597,384.637861114397,566.619738600304
