"edge_id","from_location_id","to_location_id","from_road_vertex_id","to_road_vertex_id","road_distance_km","weight"
151,61,66,"10032701331","13333159911",2.89383238261305,0.475960517414449
152,65,66,"13332496803","13333159911",1.04194569135874,0.765432740453782
153,61,67,"10032701331","9915923567",3.94699286913522,0.363269065672462
154,65,67,"13332496803","9915923567",1.87670900069283,0.617871561233157
155,66,67,"13333159911","9915923567",1.60101101717423,0.663156927478835
156,65,68,"13332496803","9920025750",2.57837453267889,0.51608240506058
157,66,68,"13333159911","9920025750",2.31357014708156,0.552361498260519
158,67,68,"9915923567","9920025750",2.16823375983163,0.573345874940299
159,51,69,"5077446356","13961784490",4.02592566702349,0.177993349668336
160,68,70,"9920025750","1976297662",4.08560126886842,0.17528903748162
161,69,70,"13961784490","1976297662",3.03611408142365,0.458899924507969
162,69,71,"13961784490","528858162",3.8842406000994,0.184582380015364
163,70,71,"1976297662","528858162",2.21941593602805,0.565866527191955
164,51,72,"5077446356","5588104240",3.88218355001264,0.184679817535085
165,52,72,"733860100","5588104240",3.1153888009144,0.224830511639105
166,69,72,"13961784490","5588104240",0.919284733863846,0.789903148998769
167,70,72,"1976297662","5588104240",3.53207866117717,0.202035605689033
168,71,72,"528858162","5588104240",4.38519658490529,0.162320744331644
169,54,73,"3581002156","10048650728",3.04050127867811,0.458383701602405
170,69,73,"13961784490","10048650728",2.83990090447933,0.482591803003313
171,72,73,"5588104240","10048650728",2.58382510409186,0.515361241154337
172,54,74,"3581002156","3060618562",3.35568616601785,0.422777100420749
173,59,74,"245154210","3060618562",4.30541861115407,0.331354471241632
174,60,74,"3017431195","3060618562",1.97674166421625,0.602216467316309
175,54,75,"3581002156","3608688067",2.40185230804416,0.539991661345376
176,60,75,"3017431195","3608688067",2.54298837508341,0.520788945706787
177,73,75,"10048650728","3608688067",3.70236627816604,0.193399153827007
178,74,75,"3060618562","3608688067",1.19118761998383,0.736679506240064
179,54,76,"3581002156","6001342173",3.20298648320938,0.439668309032086
180,69,76,"13961784490","6001342173",2.37272350559068,0.544042173698041
181,72,76,"5588104240","6001342173",2.11664770520321,0.580984277255536
182,73,76,"10048650728","6001342173",0.630556323442587,0.850636064998641
183,57,77,"12248263838","10676259827",4.38562764578362,0.324605588607252
184,58,77,"12438176403","10676259827",4.48178027941781,0.31669610621341
185,74,78,"3060618562","1918810104",4.52437139315962,0.156627224341166
186,75,78,"3608688067","1918810104",4.51656541542612,0.156941207251694
