station,month,metadata_matched,records,samples_sum,total_flow_count,total_flow_mean,total_flow_weighted_by_samples,average_speed_count,average_speed_mean,average_speed_weighted_by_samples
1111509,02,yes,696,0,696,2554.6077586206898,,696,58.31422413793102,
1111509,03,yes,743,0,743,1766.4777927321668,,743,61.0005383580081,
1111509,04,yes,720,0,720,1072.5444444444445,,720,63.0965277777779,
1111509,05,yes,744,0,744,1311.2137096774193,,744,62.90873655913984,
1111509,06,yes,720,0,720,1654.2263888888888,,720,62.060138888888936,
1111509,07,yes,744,6024,744,1796.353494623656,2545.983399734396,744,62.1174731182796,61.355312084993365
1111509,08,yes,744,353033,744,2021.2755376344087,2014.9392181467456,744,66.92567204301076,66.93576011307725
1111509,09,yes,720,313233,720,2086.0041666666666,2062.094128013332,720,66.5536111111111,66.58603786957312
1111509,10,yes,744,336421,744,2132.1155913978496,2148.6277551044673,744,66.49462365591393,66.48573246022097
1111509,11,yes,720,344932,720,1934.4680555555556,1932.117147727668,720,66.53680555555547,66.53927498753376
1111509,12,yes,744,354851,744,1818.779569892473,1813.8818010939804,744,66.43131720430111,66.44663619378272
1111510,01,no,744,0,744,2799.1102150537636,,744,57.828091397849526,
1111510,02,no,696,0,696,2809.4741379310344,,696,57.91106321839082,
1111510,03,no,600,0,600,2248.255,,600,59.47300000000002,
1111514,01,yes,744,0,744,1589.8212365591398,,744,65.27271505376346,
1111514,02,yes,696,0,696,1629.1752873563219,,696,64.90201149425283,
1111514,03,yes,743,0,743,1257.349932705249,,743,68.10713324360692,
1111514,04,yes,720,0,720,904.1625,,720,70.49472222222218,
1111514,05,yes,744,0,744,1110.747311827957,,744,69.74623655913985,
1111514,06,yes,720,0,720,1332.2263888888888,,720,69.5251388888889,
1111514,07,yes,744,0,744,1394.2432795698924,,744,69.10255376344077,
1111514,08,yes,744,0,744,1457.0255376344087,,744,68.9219086021505,
1111514,09,yes,720,14214,720,1387.5194444444444,1045.7755733783595,720,68.80833333333331,64.81015196285355
1111514,10,yes,744,169272,744,920.5631720430108,921.3499633725602,744,63.45322580645157,63.37052436315517
1111514,11,yes,720,170978,720,876.8125,877.437524125911,720,63.558611111111055,63.59817988279187
1111514,12,yes,744,144587,744,921.3709677419355,814.1022844377434,744,65.39327956989236,64.40307773174632
1111515,01,yes,744,0,0,,,0,,
1111515,02,yes,696,0,0,,,0,,
1111515,03,yes,743,0,0,,,0,,
1111515,04,yes,720,0,0,,,0,,
1111515,05,yes,744,0,0,,,0,,
1111515,06,yes,720,0,0,,,0,,
1111515,07,yes,744,0,0,,,0,,
1111515,08,yes,744,0,0,,,0,,
1111515,09,yes,720,14246,19,2261.3684210526317,2259.64012455516,19,64.2157894736842,64.20782918149467
1111515,10,yes,744,169888,744,1592.646505376344,1591.0913425315503,744,70.35927419354839,70.53390586739499
1111515,11,yes,720,172072,720,1422.9722222222222,1423.5987028685665,720,70.86875000000006,70.8694616207169
1111515,12,yes,744,145570,744,1354.502688172043,1347.3294222710724,744,70.7982526881721,70.79061619839256
1111520,01,yes,744,171332,744,2126.010752688172,2126.9947820605607,744,64.38010752688163,64.37327702939315
1111520,02,yes,696,164879,696,2173.294540229885,2168.8816526058504,696,64.4833333333333,64.49767041284822
1111520,03,yes,743,176186,743,1488.6608344549124,1490.7364262767758,743,65.58209959623153,65.57649926781927
